brand,name,price,PBW,SKU,discount,PWD,weight
DOVE,Shampoo Dove Reconstrucción Completa 400 Ml,$6.796,x lt.: $16.990,13711201001,-40%,"$4.077,6",400 ml
DOVE,Acondicionador Dove Reconstrucción Completa 400 Ml,$6.796,x lt.: $16.990,13720884001,-40%,"$4.077,6",400 ml
DOVE,Shampoo Dove Regeneración Extrema 400 Ml,$6.796,x lt.: $16.990,13711203001,-40%,"$4.077,6",400 ml
DOVE,Acondicionador Dove Regeneración Extrema 400 Ml,$6.796,x lt.: $16.990,13720886001,-40%,"$4.077,6",400 ml
DOVE,Antitranspirante Roll-on Dove Original 90 Gr,$2.800,x 100ml.: $56,13421106024,N/A,N/A,90 gr
DOVE,Shampoo Dove óleo Nutrición 400 Ml,$6.796,x lt.: $16.990,13711202001,-40%,"$4.077,6",400 ml
DOVE,Acondicionador Dove óleo Nutrición 400 Ml,$6.796,x lt.: $16.990,13720885001,-40%,"$4.077,6",400 ml
DOVE,Shampoo Dove Ritual De Reparacion De Coco 400 Ml,$6.796,x lt.: $16.990,13711208001,-40%,"$4.077,6",400 ml
DOVE,Acondicionador Dove Ritual De Reparación Coco 400 Ml,$6.796,x lt.: $16.990,13720883001,-40%,"$4.077,6",400 ml
DOVE,Shampoo Dove Ritual De Reparación Coco 200 Ml,$4.500,x lt.: $22.500,13711213001,N/A,N/A,200 ml
DOVE,Acondicionador Dove Ritual De Reparación Coco 200 Ml,$4.500,x lt.: $22.500,13720891001,N/A,N/A,200 ml
DOVE,Shampoo Dove Ritual De Crecimiento 400 Ml,$6.796,x lt.: $16.990,13711210001,-40%,"$4.077,6",400 ml
DOVE,Acondicionador Dove Ritual De Crecimiento Equinacea 400 Ml,$6.796,x lt.: $16.990,13720882001,-40%,"$4.077,6",400 ml
DOVE,Shampoo Dove Reconstrucción Completa 200cc,$4.500,,13711218001,N/A,N/A,N/A
DOVE,Acondicionador Dove Reconstruccion Completa 200 Ml,$4.500,x lt.: $22.500,13720892001,N/A,N/A,200 ml
DOVE,Shampoo Dove Reconstruccion Completa 750ml,$11.900,"x lt.: $15.866,67",13711214001,N/A,N/A,750 ml
DOVE,Acondicionador Dove Reconstrucción Completa 750 Ml,$11.900,"x lt.: $15.866,67",13720895001,N/A,N/A,750 ml
DOVE,Shampoo Dove Ritual De Reparación Coco 750 Ml,$11.298,x lt.: $15.064,13711217001,N/A,N/A,750 ml
DOVE,Acondicionador Dove Ritual De Reparación Coco 750 Ml,$11.650,"x lt.: $15.533,33",13720898001,N/A,N/A,750 ml
DOVE,Shampoo Dove Regeneración Extrema 750 Ml,$11.900,"x lt.: $15.866,67",13711216001,N/A,N/A,750 ml
DOVE,Acondicionador Dove Regeneración Extrema 750 Ml,$11.900,"x lt.: $15.866,67",13720897001,N/A,N/A,750 ml
DOVE,Shampoo Dove Regeneración Extrema 200 Ml,$4.500,x lt.: $22.500,13711212001,N/A,N/A,200 ml
DOVE,Acondicionador Dove Regeneración Extrema 200 Ml,$4.500,x lt.: $22.500,13720894001,N/A,N/A,200 ml
DOVE,Shampoo Dove Oleo Nutricion 200 Ml,$4.500,x lt.: $22.500,13711211001,N/A,N/A,200 ml
DOVE,Acondicionador Dove Reconstrucción Completa 200 Ml,$4.500,x lt.: $22.500,13720893001,N/A,N/A,200 ml
DOVE,Shampoo Dove óleo Nutrición 750 Ml,$11.900,"x lt.: $15.866,67",13711215001,N/A,N/A,750 ml
DOVE,Acond Dove Oleo Nutricion 750ml,$11.900,"x lt.: $15.866,67",13720896001,N/A,N/A,750 ml
DOVE,Shampoo Para Hombre Dove Active & Fresh 3 En 1 400 Ml,$7.131,"x lt.: $17.827,5",13710524001,N/A,N/A,400 ml
DOVE,Shampoo Dove Men 2en1 Fuerza Extrema 400 Ml,$7.131,"x lt.: $17.827,5",13710523001,N/A,N/A,400 ml
DOVE,Jabón De Tocador Dove Karité Y Vainilla 90 Gr,$1.850,,13110109037,N/A,N/A,90 gr
DOVE,Jabon De Tocador Dove Nutricion Indulgente 90g,$1.850,,13110109040,N/A,N/A,90 g
DOVE,Jabón Pastilla Individual Dove Exfoliante 90 Gr,$1.761,,13110109022,N/A,N/A,90 gr
DOVE,Jabón De Tocador Dove Original Multipack X3 90 Gr,$4.744,,13110109038,N/A,N/A,90 gr
DOVE,Jabon En Barra Original Individual 90 Grs Dove,$1.761,,13110109052,N/A,N/A,N/A
DOVE,Jabón Líquido Para Manos Dove Nutrición Profunda 220 Ml,$3.200,"x lt.: $14.545,45",13110314025,-20%,$2.560,220 ml
DOVE,Antitranspirante En Aerosol Dove Original 150 Ml,$3.500,x lt.: $28.360,13420301079,-25%,$4.254,150 ml
DOVE,Desodorante Antitranspirante Granada Y Verbena En Aerosol 150 Ml Dove,$3.500,x lt.: $28.360,13420301083,-25%,$4.254,150 ml
DOVE,óleo + Sérum Dove Bond Intense Repair 110 Ml,$15.150,"x lt.: $137.727,27",13730424001,N/A,N/A,110 ml
DOVE,Shampoo Dove Bond Intense Repair 400 Ml,$7.407,"x lt.: $18.517,5",13710774165,-40%,"$4.444,2",400 ml
DOVE,Jabon De Tocador Dove Cuidado Antibacterial 90 Gr,$1.761,,13110109049,N/A,N/A,90 gr
DOVE,Shampoo Dove Hidratacion X400ml,$6.796,x lt.: $16.990,13710774162,-40%,"$4.077,6",N/A
DOVE,Deo Dove Clinical 150ml,$6.400,"x lt.: $42.666,67",13420301078,N/A,N/A,150 ml
